Year,Rate Per Second,Rate Per Day,Rewards,Total Rewards,Total Rewards Percent,Total
0,0,0,0,0,0,6180339.887498944824912000
1,0.074856664605463500,6467.615821912046400000,2360679.774997896936000000,2360679.774997896936000000,0.381966011250105373,6180339.887498944824912000
2,0.046263963010627680,3997.206404118231552000,1458980.337503154516480000,3819660.112501051452480000,0.618033988749895203,6180339.887498944824912000
3,0.028592701594835818,2470.409417793814675200,901699.437494742356448000,4721359.549995793808928000,0.763932022500210736,6180339.887498944824912000
4,0.017671261415791860,1526.796986324416704000,557280.900008412096960000,5278640.450004205905888000,0.854101966249685023,6180339.887498944824912000
5,0.010921440179043957,943.612431469397884800,344418.537486330227952000,5623058.987490536133840000,0.909830056250526264,6180339.887498944824912000
6,0.006749821236747902,583.184554855018732800,212862.362522081837472000,5835921.350012617971312000,0.944271909999159304,6180339.887498944824912000
7,0.004171618942296054,360.427876614379065600,131556.174964248358944000,5967477.524976866330256000,0.965558146251367500,6180339.887498944824912000
8,0.002578202294451847,222.756678240639580800,81306.187557833446992000,6048783.712534699777248000,0.978713763747792340,6180339.887498944824912000
9,0.001593416647844205,137.671198373739312000,50249.987406414848880000,6099033.699941114626128000,0.986844382503575685,6180339.887498944824912000
10,0.000984785646607640,85.085479866900096000,31056.200151418535040000,6130089.900092533161168000,0.991869381244217170,6180339.887498944824912000
11,0.000608631001236564,52.585718506839129600,19193.787254996282304000,6149283.687347529443472000,0.994975001259359025,6180339.887498944824912000
12,0.000376154645371075,32.499761360060880000,11862.412896422221200000,6161146.100243951664672000,0.996894379984858650,6180339.887498944824912000
13,0.000232476355865487,20.085957146778076800,7331.374358573998032000,6168477.474602525662704000,0.998080621274500869,6180339.887498944824912000
14,0.000143678289505586,12.413804213282630400,4531.038537848160096000,6173008.513140373822800000,0.998813758710358265,6180339.887498944824912000
15,0.000088798066359899,7.672152933495273600,2800.335820725774864000,6175808.848961099597664000,0.999266862564143079,6180339.887498944824912000
16,0.000054880223145686,4.741651279787270400,1730.702717122353696000,6177539.551678221951360000,0.999546896146215655,6180339.887498944824912000
17,0.000033917843214212,2.930501653707916800,1069.633103603389632000,6178609.184781825340992000,0.999719966417927887,6180339.887498944824912000
18,0.000020962379931472,1.811149626079180800,661.069613518900992000,6179270.254395344241984000,0.999826929728288221,6180339.887498944824912000
19,0.000012955463282738,1.119352027628563200,408.563490084425568000,6179678.817885428667552000,0.999893036689640109,6180339.887498944824912000
20,0.000008006916648733,0.691797598450531200,252.506123434443888000,6179931.324008863111440000,0.999933893038648550,6180339.887498944824912000
21,0.000004948546634004,0.427554429177945600,156.057366649950144000,6180087.381375513061584000,0.999959143650991993,6180339.887498944824912000
22,0.000003058370014728,0.264243169272499200,96.448756784462208000,6180183.830132297523792000,0.999974749387656986,6180339.887498944824912000
23,0.000001890176619275,0.163311259905360000,59.608609865456400000,6180243.438742162980192000,0.999984394263335430,6180339.887498944824912000
24,0.000001168193395452,0.100931909367052800,36.840146918974272000,6180280.278889081954464000,0.999990355124321974,6180339.887498944824912000
25,0.000000721983223822,0.062379350538220800,22.768462946450592000,6180303.047352028405056000,0.999994039139013869,6180339.887498944824912000
26,0.000000446210171629,0.038552558828745600,14.071683972492144000,6180317.119036000897200000,0.999996315985308513,6180339.887498944824912000
27,0.000000275773052192,0.023826791709388800,8.696778973926912000,6180325.815814974824112000,0.999997723153705759,6180339.887498944824912000
28,0.000000170437119435,0.014725767119184000,5.374904998502160000,6180331.190719973326272000,0.999998592831603146,6180339.887498944824912000
29,0.000000105335932755,0.009101024590032000,3.321873975361680000,6180334.512593948687952000,0.999999130322102994,6180339.887498944824912000
30,0.000000065101186679,0.005624742529065600,2.053031023108944000,6180336.565624971796896000,0.999999462509500529,6180339.887498944824912000
31,0.000000040234746075,0.003476282060880000,1.268842952221200000,6180337.834467924018096000,0.999999667812602837,6180339.887498944824912000
32,0.000000024866440603,0.002148460468099200,0.784188070856208000,6180338.618655994874304000,0.999999794696898059,6180339.887498944824912000
33,0.000000015368305471,0.001327821592694400,0.484654881333456000,6180339.103310876207760000,0.999999873115705140,6180339.887498944824912000
34,0.000000009498135130,0.000820638875232000,0.299533189459680000,6180339.402844065667440000,0.999999921581193270,6180339.887498944824912000
35,0.000000005870170340,0.000507182717376000,0.185121691842240000,6180339.587965757509680000,0.999999951534512216,6180339.887498944824912000
36,0.000000003627964789,0.000313456157769600,0.114411497585904000,6180339.702377255095584000,0.999999970046681396,6180339.887498944824912000
37,0.000000002242205549,0.000193726559433600,0.070710194193264000,6180339.773087449288848000,0.999999981487831151,6180339.887498944824912000
38,0.000000001385759239,0.000119729598249600,0.043701303361104000,6180339.816788752649952000,0.999999988558850570,6180339.887498944824912000
39,0.000000000856446309,0.000073996961097600,0.027008890800624000,6180339.843797643450576000,0.999999992928980902,6180339.887498944824912000
40,0.000000000529312928,0.000045732636979200,0.016692412497408000,6180339.860490055947984000,0.999999995629869979,6180339.887498944824912000
41,0.000000000327133380,0.000028264324032000,0.010316478271680000,6180339.870806534219664000,0.999999997299111228,6180339.887498944824912000
42,0.000000000202179547,0.000017468312860800,0.006375934194192000,6180339.877182468413856000,0.999999998330759052,6180339.887498944824912000
43,0.000000000124953831,0.000010796010998400,0.003940544014416000,6180339.881123012428272000,0.999999998968352467,6180339.887498944824912000
44,0.000000000077225714,0.000006672301689600,0.002435390116704000,6180339.883558402544976000,0.999999999362406865,6180339.887498944824912000
45,0.000000000047728116,0.000004123709222400,0.001505153866176000,6180339.885063556411152000,0.999999999605945877,6180339.887498944824912000
46,0.000000000029497597,0.000002548592380800,0.000930236218992000,6180339.885993792630144000,0.999999999756461259,6180339.887498944824912000
47,0.000000000018230517,0.000001575116668800,0.000574917584112000,6180339.886568710214256000,0.999999999849484878,6180339.887498944824912000
48,0.000000000011267079,0.000000973475625600,0.000355318603344000,6180339.886924028817600000,0.999999999906976635,6180339.887498944824912000
49,0.000000000006963437,0.000000601640956800,0.000219598949232000,6180339.887143627766832000,0.999999999942508492,6180339.887498944824912000
50,0.000000000004303640,0.000000371834496000,0.000135719591040000,6180339.887279347357872000,0.999999999964468383,6180339.887498944824912000
51,0.000000000002659795,0.000000229806288000,0.000083879295120000,6180339.887363226652992000,0.999999999978040338,6180339.887498944824912000
52,0.000000000001643843,0.000000142028035200,0.000051840232848000,6180339.887415066885840000,0.999999999986428264,6180339.887498944824912000
53,0.000000000001015950,0.000000087778080000,0.000032038999200000,6180339.887447105885040000,0.999999999991612283,6180339.887498944824912000
54,0.000000000000627891,0.000000054249782400,0.000019801170576000,6180339.887466907055616000,0.999999999994816180,6180339.887498944824912000
55,0.000000000000388057,0.000000033528124800,0.000012237765552000,6180339.887479144821168000,0.999999999996796292,6180339.887498944824912000
56,0.000000000000239832,0.000000020721484800,0.000007563341952000,6180339.887486708163120000,0.999999999998020066,6180339.887498944824912000
57,0.000000000000148224,0.000000012806553600,0.000004674392064000,6180339.887491382555184000,0.999999999998776399,6180339.887498944824912000
58,0.000000000000091607,0.000000007914844800,0.000002888918352000,6180339.887494271473536000,0.999999999999243835,6180339.887498944824912000
59,0.000000000000056616,0.000000004891622400,0.000001785442176000,6180339.887496056915712000,0.999999999999532726,6180339.887498944824912000
60,0.000000000000034990,0.000000003023136000,0.000001103444640000,6180339.887497160360352000,0.999999999999711267,6180339.887498944824912000
61,0.000000000000021625,0.000000001868400000,0.000000681966000000,6180339.887497842326352000,0.999999999999821611,6180339.887498944824912000
62,0.000000000000013364,0.000000001154649600,0.000000421447104000,6180339.887498263773456000,0.999999999999889803,6180339.887498944824912000
63,0.000000000000008259,0.000000000713577600,0.000000260455824000,6180339.887498524229280000,0.999999999999931946,6180339.887498944824912000
64,0.000000000000005104,0.000000000440985600,0.000000160959744000,6180339.887498685189024000,0.999999999999957990,6180339.887498944824912000
65,0.000000000000003154,0.000000000272505600,0.000000099464544000,6180339.887498784653568000,0.999999999999974083,6180339.887498944824912000
66,0.000000000000001949,0.000000000168393600,0.000000061463664000,6180339.887498846117232000,0.999999999999984028,6180339.887498944824912000
67,0.000000000000001204,0.000000000104025600,0.000000037969344000,6180339.887498884086576000,0.999999999999990172,6180339.887498944824912000
68,0.000000000000000744,0.000000000064281600,0.000000023462784000,6180339.887498907549360000,0.999999999999993968,6180339.887498944824912000
69,0.000000000000000459,0.000000000039657600,0.000000014475024000,6180339.887498922024384000,0.999999999999996310,6180339.887498944824912000
70,0.000000000000000283,0.000000000024451200,0.000000008924688000,6180339.887498930949072000,0.999999999999997754,6180339.887498944824912000
71,0.000000000000000174,0.000000000015033600,0.000000005487264000,6180339.887498936436336000,0.999999999999998642,6180339.887498944824912000
72,0.000000000000000107,0.000000000009244800,0.000000003374352000,6180339.887498939810688000,0.999999999999999188,6180339.887498944824912000
73,0.000000000000000066,0.000000000005702400,0.000000002081376000,6180339.887498941892064000,0.999999999999999525,6180339.887498944824912000
74,0.000000000000000040,0.000000000003456000,0.000000001261440000,6180339.887498943153504000,0.999999999999999729,6180339.887498944824912000
75,0.000000000000000024,0.000000000002073600,0.000000000756864000,6180339.887498943910368000,0.999999999999999852,6180339.887498944824912000
76,0.000000000000000014,0.000000000001209600,0.000000000441504000,6180339.887498944351872000,0.999999999999999923,6180339.887498944824912000
77,0.000000000000000008,0.000000000000691200,0.000000000252288000,6180339.887498944604160000,0.999999999999999964,6180339.887498944824912000
78,0.000000000000000004,0.000000000000345600,0.000000000126144000,6180339.887498944730304000,0.999999999999999984,6180339.887498944824912000
79,0.000000000000000002,0.000000000000172800,0.000000000063072000,6180339.887498944793376000,0.999999999999999994,6180339.887498944824912000
80,0.000000000000000001,0.000000000000086400,0.000000000031536000,6180339.887498944824912000,1.000000000000000000,6180339.887498944824912000
81,0.000000000000000000,0.000000000000000000,0.000000000000000000,6180339.887498944824912000,1.000000000000000000,6180339.887498944824912000
